Thiết bị,Khoa phòng,Đề xuất/ Số hợp đồng
Ống soi TMH 30 0 độ và 20 70 độ,Khám bệnh-TMH,Hoàng Minh (chưa có số)
"01 Pipet,03 máy ly tâm_Xét nghiệm_240425BCE-BVTΑΜΑΝΗ_BCE.pdf",,
01 ống soi mềm cấp mới ( thu hồi 01 ống bị hư).pdf,,
03 Xe lưu trữ Y dụng cụ đa năng SC32PRO_CĐHA_HĐ05.KD88_24.pdf,,
03 xe lưu trữ y dụng cụ đa năng SC32PRO_Khám bệnh_HĐ05.KD134_24.pdf,,
04 Ghế chuyên dùng trong y tế_Cấp cứu-TNT_HĐ05.KD59_24.pdf,,
"07 máy hút dịch new askir 23012V BR, 14 xe lưu trữ y dụng cụ đa năng SC32PRO, 07 xe lưu trữ y dụng cụ đa năng SC32EMG_Khám bệnh_HĐ05.KD60_24.pdf",,
07092024_Cho mượn MÁY ĐIỀU TRỊ DA BẰNG LASER Q- SWITCHED.docx,,
"15 Pipet,01máy ly tâm_Xét nghiệm_240425BCE-BVTΑΜΑΝΗ_BCE.pdf",,
18 Xe lưu trữ Y dụng cụ đa năng_NSTH_HĐ05.KD88_24.pdf,,
"19 pipet, 04 máy ly tâm_Xét nghiệm_240425BCE-BVTΑΜΑΝΗ_BCE.pdf",,
2 bàn tiểu phẫu.pdf,,
"2 băng ca, nệm, cọc, 3 xe đẩy, cần, 1 mor B125.pdf",,
"2 đầu nối DVI, 2 cáp, 2 capture.pdf",,
"24 bình, 24 part, 30 đầu air.pdf",,
24.10.2024 cho mượn máy siêu âm 850 lần 2.pdf,,
"3 đèn hành lang, 1 nút gọi, 1 dây nối dài.pdf",,
"4 băng ca, 90 sổ.pdf",,
"4 giường, 4 cọc theo, 1 cọc, 1 băng ca.pdf",,
"5 băng ca, 2 xe đẩy mor, 1 xe đẩy oxy.pdf",,
"5 bơm tim, 11 máy truyền dịch,6 máy phá rung, 5 máy điện tim, 3 điện tim.pdf",,
50 đuôi chuột.pdf,,
6 bộ bàn đạp ghế TMH.pdf,,
"6 giường, 6 cọc, 4 bàn ăn, 8 tủ.pdf",,
6 đèn báo gọi điều dưỡng.pdf,,
60 đuôi chuột- trả 12 cái cũ_Cấp cứu.pdf,,
Biên bản trả máy Nội soi bàng quang cho cty Thiên Phúc_10092024.pdf,,
Bàn giao đổi máy cắt xương RHM _ Medent 16.11.24.pdf,,
BĂNG CA - Q7 TRẢ TÂN BÌNH.pdf,,
"Bộ máy tính, Máy in_Khám bệnh-Khám sản_MPT_22052024TAMPT.pdf",,
Checklist máy xét nghiệm.pdf,,
Cho mượn cân Inbody đo mỡ.pdf,,
Cho mượn cân Inbody đo mỡ.pdf,,
Cho mượn máy siêu âm arietaa 750 ngày 15.10.2024.jpg,,
CĐHA - 15-10-2024 - LAANF2- cho mượn máy siêu âm arieta 850 P1160.docx,,
CĐHA - 15-10-2024 - cho mượn máy siêu âm arieta 850.docx,,
Cấp đổi 01 máy sốc tim TEC-5631 thay cho TEC-5621_Cấp cứu.pdf,,
"Forceps gắp dị vật, thân mềm, cỡ 5Fr dài 73cm_070.2024.HDMB.TP.pdf",,
"HC_xeCC_ Binh oxy, xe day binh, bo regu_24070457.pdf",,
Hệ thống soi khám bàn quang_ 028.2024.TP.pdf,,
Lõi lọc Big blue_TB-Q7 đã gửi trả 12.11.2024.pdf,,
Scan_ mượn máy hút ẩm từ CDHA.pdf,,
Scan_BGNB TTBYT TÂN BÌNH-Q7.pdf,,
Scan_Máy hút ẩm chuyển từ Tân Bình.pdf,,
Scan_TB-Q7 maypharungtim.pdf,,
Scan_bbgn nbtb-q7.pdf,,
Scan_bgnoitan-q7.pdf,,
Thu hồi bộ lọc phòng rửa dụng cụ TMH.pdf,,
Thu hồi nhiệt kế HTC nhầm mã_Khám bệnh.pdf,,
Thu máy sốc tim TEC-5621_Cấp cứu.pdf,,
USB cân đo mỡ Inbody.pdf,,
VPPT11.pdf,,
"bàn thủ thuật kèm nệm, xe inox tắm bé.pdf",,
"máy in b125, 1 cáp ko xâm lấn, 1 adapter.pdf",,
Đổi UPS CDHA.pdf,,
Đổi vaccum_Cấp cứu-Thủ thuật.pdf,,
đầu nối DVI.pdf,,
